GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,OREB_home,OREB_away,spread,PTS_total,OREB_total
2023-03-24,22201106,Final,1610612747,1610612760,2022,1610612747,116.0,0.462,0.714,0.353,20.0,53.0,1610612760,111.0,0.435,0.895,0.389,21.0,45.0,1,16.0,12.0,5.0,227.0,28.0
2023-03-23,22201093,Final,1610612753,1610612752,2022,1610612753,111.0,0.46,0.857,0.406,25.0,43.0,1610612752,106.0,0.42,0.769,0.3,26.0,44.0,1,16.0,26.0,5.0,217.0,42.0
2023-03-23,22201094,Final,1610612751,1610612739,2022,1610612751,114.0,0.481,0.889,0.353,24.0,42.0,1610612739,116.0,0.472,0.769,0.375,24.0,40.0,0,9.0,13.0,-2.0,230.0,22.0
2023-03-23,22201095,Final,1610612740,1610612766,2022,1610612740,115.0,0.459,0.933,0.324,26.0,52.0,1610612766,96.0,0.458,0.688,0.243,24.0,38.0,1,11.0,4.0,19.0,211.0,15.0
2023-03-23,22201096,Final,1610612746,1610612760,2022,1610612746,127.0,0.56,0.75,0.486,34.0,42.0,1610612760,105.0,0.441,0.909,0.333,24.0,40.0,1,8.0,13.0,22.0,232.0,21.0
2023-03-22,22201083,Final,1610612764,1610612743,2022,1610612764,104.0,0.506,0.75,0.154,20.0,37.0,1610612743,118.0,0.506,0.905,0.469,28.0,41.0,0,10.0,11.0,-14.0,222.0,21.0
2023-03-22,22201084,Final,1610612748,1610612752,2022,1610612748,127.0,0.57,0.808,0.571,28.0,29.0,1610612752,120.0,0.512,0.8,0.4,29.0,42.0,1,2.0,9.0,7.0,247.0,11.0
2023-03-22,22201085,Final,1610612761,1610612754,2022,1610612761,114.0,0.438,0.744,0.206,21.0,40.0,1610612754,118.0,0.558,0.84,0.524,27.0,39.0,0,13.0,8.0,-4.0,232.0,21.0
2023-03-22,22201086,Final,1610612742,1610612744,2022,1610612742,125.0,0.494,0.714,0.425,27.0,31.0,1610612744,127.0,0.556,0.833,0.308,33.0,44.0,0,8.0,11.0,-2.0,252.0,19.0
2023-03-22,22201087,Final,1610612741,1610612755,2022,1610612741,91.0,0.41,0.773,0.24,18.0,42.0,1610612755,116.0,0.476,0.846,0.432,30.0,44.0,0,15.0,11.0,-25.0,207.0,26.0
2023-03-22,22201088,Final,1610612763,1610612745,2022,1610612763,130.0,0.517,0.848,0.333,27.0,36.0,1610612745,125.0,0.516,0.739,0.364,27.0,48.0,1,12.0,20.0,5.0,255.0,32.0
2023-03-22,22201089,Final,1610612749,1610612759,2022,1610612749,130.0,0.52,0.542,0.349,24.0,54.0,1610612759,94.0,0.387,0.65,0.231,26.0,46.0,1,20.0,16.0,36.0,224.0,36.0
2023-03-22,22201090,Final,1610612750,1610612737,2022,1610612750,125.0,0.489,0.828,0.423,27.0,42.0,1610612737,124.0,0.529,0.88,0.462,28.0,41.0,1,11.0,9.0,1.0,249.0,20.0
2023-03-22,22201091,Final,1610612762,1610612757,2022,1610612762,115.0,0.476,0.722,0.314,24.0,47.0,1610612757,127.0,0.484,0.8,0.317,28.0,43.0,0,7.0,7.0,-12.0,242.0,14.0
2023-03-22,22201092,Final,1610612747,1610612756,2022,1610612747,122.0,0.557,0.783,0.471,27.0,36.0,1610612756,111.0,0.467,0.75,0.387,23.0,39.0,1,5.0,12.0,11.0,233.0,17.0
2023-03-21,22201077,Final,1610612753,1610612764,2022,1610612753,122.0,0.538,0.96,0.444,27.0,42.0,1610612764,112.0,0.506,0.783,0.313,30.0,33.0,1,7.0,4.0,10.0,234.0,11.0
2023-03-21,22201078,Final,1610612737,1610612765,2022,1610612737,129.0,0.463,0.75,0.368,26.0,61.0,1610612765,107.0,0.407,0.833,0.325,20.0,35.0,1,21.0,9.0,22.0,236.0,30.0
2023-03-21,22201079,Final,1610612751,1610612739,2022,1610612751,109.0,0.446,0.783,0.273,25.0,49.0,1610612739,115.0,0.506,0.81,0.483,23.0,34.0,0,19.0,8.0,-6.0,224.0,27.0
2023-03-21,22201080,Final,1610612740,1610612759,2022,1610612740,119.0,0.556,0.826,0.417,31.0,49.0,1610612759,84.0,0.345,0.579,0.317,22.0,37.0,1,5.0,10.0,35.0,203.0,15.0
2023-03-21,22201081,Final,1610612758,1610612738,2022,1610612758,109.0,0.481,0.667,0.386,25.0,42.0,1610612738,132.0,0.533,0.696,0.409,33.0,43.0,0,10.0,11.0,-23.0,241.0,21.0
2023-03-21,22201082,Final,1610612746,1610612760,2022,1610612746,100.0,0.477,0.571,0.194,21.0,46.0,1610612760,101.0,0.419,0.929,0.27,19.0,47.0,0,12.0,12.0,-1.0,201.0,24.0
2023-03-20,22201071,Final,1610612766,1610612754,2022,1610612766,115.0,0.456,0.719,0.323,26.0,37.0,1610612754,109.0,0.451,0.765,0.346,27.0,48.0,1,10.0,13.0,6.0,224.0,23.0
2023-03-20,22201072,Final,1610612755,1610612741,2022,1610612755,105.0,0.422,0.864,0.278,28.0,54.0,1610612741,109.0,0.415,0.828,0.212,20.0,42.0,0,9.0,4.0,-4.0,214.0,13.0
2023-03-20,22201073,Final,1610612752,1610612750,2022,1610612752,134.0,0.565,0.857,0.5,26.0,34.0,1610612750,140.0,0.614,0.75,0.583,34.0,34.0,0,7.0,7.0,-6.0,274.0,14.0
2023-03-20,22201074,Final,1610612745,1610612744,2022,1610612745,108.0,0.419,0.833,0.278,14.0,41.0,1610612744,121.0,0.5,0.842,0.354,31.0,48.0,0,13.0,16.0,-13.0,229.0,29.0
2023-03-20,22201075,Final,1610612763,1610612742,2022,1610612763,112.0,0.461,0.769,0.286,21.0,50.0,1610612742,108.0,0.464,0.95,0.306,22.0,37.0,1,17.0,8.0,4.0,220.0,25.0
2023-03-20,22201076,Final,1610612762,1610612758,2022,1610612762,128.0,0.523,0.87,0.444,33.0,48.0,1610612758,120.0,0.423,0.76,0.365,28.0,43.0,1,6.0,8.0,8.0,248.0,14.0
2023-03-19,22201063,Final,1610612751,1610612743,2022,1610612751,102.0,0.463,0.875,0.343,26.0,33.0,1610612743,108.0,0.525,0.923,0.522,31.0,40.0,0,9.0,6.0,-6.0,210.0,15.0
2023-03-19,22201064,Final,1610612760,1610612756,2022,1610612760,124.0,0.5,0.806,0.393,20.0,44.0,1610612756,120.0,0.478,0.708,0.417,31.0,40.0,1,6.0,9.0,4.0,244.0,15.0
2023-03-19,22201065,Final,1610612759,1610612737,2022,1610612759,126.0,0.543,0.625,0.5,26.0,41.0,1610612737,118.0,0.475,0.85,0.227,21.0,51.0,1,20.0,40.0,8.0,244.0,60.0
2023-03-19,22201066,Final,1610612765,1610612748,2022,1610612765,100.0,0.463,0.824,0.313,26.0,39.0,1610612748,112.0,0.481,0.92,0.333,33.0,42.0,0,9.0,8.0,-12.0,212.0,17.0
2023-03-19,22201067,Final,1610612745,1610612740,2022,1610612745,107.0,0.408,0.947,0.273,15.0,36.0,1610612740,117.0,0.494,0.833,0.419,28.0,39.0,0,8.0,10.0,-10.0,224.0,18.0
2023-03-19,22201068,Final,1610612749,1610612761,2022,1610612749,118.0,0.524,0.762,0.356,35.0,45.0,1610612761,111.0,0.444,0.75,0.412,25.0,41.0,1,7.0,9.0,7.0,229.0,16.0
2023-03-19,22201069,Final,1610612757,1610612746,2022,1610612757,102.0,0.451,0.917,0.207,24.0,40.0,1610612746,117.0,0.457,0.826,0.429,26.0,49.0,0,11.0,18.0,-15.0,219.0,29.0
2023-03-19,22201070,Final,1610612747,1610612753,2022,1610612747,111.0,0.462,0.813,0.406,25.0,52.0,1610612753,105.0,0.402,0.765,0.263,24.0,44.0,1,9.0,13.0,6.0,216.0,22.0
2023-03-18,22201055,Final,1610612752,1610612743,2022,1610612752,116.0,0.494,0.893,0.281,23.0,43.0,1610612743,110.0,0.512,0.8,0.364,30.0,33.0,1,15.0,6.0,6.0,226.0,21.0
2023-03-18,22201056,Final,1610612746,1610612753,2022,1610612746,108.0,0.467,0.75,0.273,23.0,43.0,1610612753,113.0,0.5,0.76,0.323,23.0,45.0,0,13.0,9.0,-5.0,221.0,22.0
2023-03-18,22201057,Final,1610612754,1610612755,2022,1610612754,121.0,0.517,0.95,0.387,28.0,41.0,1610612755,141.0,0.614,0.818,0.429,31.0,30.0,0,12.0,6.0,-20.0,262.0,18.0
2023-03-18,22201058,Final,1610612761,1610612750,2022,1610612761,122.0,0.533,0.81,0.333,23.0,45.0,1610612750,107.0,0.459,0.857,0.217,27.0,42.0,1,9.0,9.0,15.0,229.0,18.0
2023-03-18,22201059,Final,1610612764,1610612758,2022,1610612764,118.0,0.451,0.852,0.361,27.0,46.0,1610612758,132.0,0.558,0.609,0.595,34.0,44.0,0,12.0,7.0,-14.0,250.0,19.0
2023-03-18,22201060,Final,1610612741,1610612748,2022,1610612741,113.0,0.563,1.0,0.5,34.0,32.0,1610612748,99.0,0.427,0.792,0.27,23.0,39.0,1,5.0,14.0,14.0,212.0,19.0
2023-03-18,22201061,Final,1610612763,1610612744,2022,1610612763,133.0,0.547,0.647,0.474,35.0,39.0,1610612744,119.0,0.429,0.824,0.371,27.0,42.0,1,11.0,15.0,14.0,252.0,26.0
